Tempo,Lambda
0,28.0
1,1.2173913043478262
2,1.4736842105263157
3,1.8666666666666667
4,2.5454545454545454
5,3.5
6,4.666666666666667
7,5.6
8,5.6
9,5.6
10,5.6
11,5.6
12,5.6
13,5.6
14,5.6
15,5.6
16,5.6
17,5.6
18,5.6
19,5.6
20,5.6
21,5.6
22,5.6
23,5.6
24,5.6
25,5.6
26,5.6
27,5.6
28,5.6
29,5.6
30,5.6
31,5.6
32,5.6
33,5.6
34,5.6
35,5.6
36,5.6
37,5.6
38,5.6
39,5.6
40,5.6
41,5.6
42,5.6
43,5.6
44,5.6
45,5.6
46,5.6
47,5.6
48,5.6
49,5.6
50,5.6
51,5.6
52,5.6
53,5.6
54,5.6
55,5.6
56,5.6
57,5.6
58,5.6
59,5.6
60,5.6
61,5.6
62,5.6
63,5.6
64,5.6
65,5.6
66,5.6
67,5.6
68,5.6
69,5.6
70,5.6
71,5.6
72,5.6
73,5.6
74,5.6
75,5.6
76,5.6
77,5.6
78,5.6
79,5.6
80,5.6
81,5.6
82,5.6
83,5.6
84,5.6
85,5.6
86,5.6
87,5.6
88,5.6
89,5.6
90,5.6
91,5.6
92,5.6
93,5.6
94,5.6
95,5.6
96,5.6
97,5.6
98,5.6
99,5.6
100,5.6
101,5.6
102,5.6
103,5.6
104,5.6
105,5.6
106,5.6
107,5.6
108,5.6
109,5.6
110,5.6
111,5.6
112,5.6
113,5.6
114,5.6
115,5.6
116,5.6
117,5.6
118,5.6
119,5.6
120,5.6
121,5.6
122,5.6
123,5.6
124,5.6
125,5.6
126,5.6
127,5.6
128,5.6
129,5.6
130,5.6
131,5.6
132,5.6
133,5.6
134,5.6
135,5.6
136,5.6
137,5.6
138,5.6
139,5.6
140,5.6
141,5.6
142,5.6
143,5.6
144,5.6
145,5.6
146,5.6
147,5.6
148,5.6
149,5.6
150,5.6
151,5.6
152,5.6
153,5.6
154,5.6
155,5.6
156,5.6
157,5.6
158,5.6
159,5.6
160,5.6
161,5.6
162,5.6
163,5.6
164,5.6
165,5.6
166,5.6
167,5.6
168,5.6
169,5.6
170,5.6
171,5.6
172,5.6
173,5.6
174,5.6
175,5.6
176,5.6
177,5.6
178,5.6
179,5.6
180,5.6
181,5.6
182,5.6
183,5.6
184,5.6
185,5.6
186,5.6
187,5.6
188,5.6
189,5.6
190,5.6
191,5.6
192,5.6
193,5.6
